epoch,stage,train_loss,train_acc,val_loss,val_acc,lr
1,frozen,0.19314904054035953,0.9259818731117825,0.10889681818408689,0.961284645842499,9.997532801828658e-05
2,frozen,0.18387386846578374,0.9311744712990937,0.10340113205580369,0.9639243290805103,9.990133642141359e-05
3,frozen,0.17259980328493607,0.9357061933534743,0.09703883099965047,0.9665640123185217,9.977809823015401e-05
4,frozen,0.16411802336978767,0.9369335347432024,0.09102161498097035,0.970523537175539,9.960573506572391e-05
5,frozen,0.16356980030810364,0.9377832326283988,0.08662612916507545,0.9709634843818742,9.93844170297569e-05
6,frozen,0.15976127710902438,0.940143504531722,0.09699368655183375,0.9639243290805103,9.911436253643445e-05
7,frozen,0.15118100337706664,0.9411820241691843,0.09005521443044358,0.9692036955565332,9.879583809693738e-05
8,frozen,0.14827110924479464,0.941654078549849,0.08894101130086528,0.970523537175539,9.842915805643157e-05
9,frozen,0.14480783813984732,0.945713746223565,0.07683252648430357,0.9736031676198856,9.801468428384717e-05
10,frozen,0.14370902724496548,0.9467522658610272,0.08104543800244916,0.9714034315882094,9.75528258147577e-05
11,finetune,0.1284203163919312,0.9528889728096677,0.06951889454715324,0.978002639683238,9.99695413509548e-06
12,finetune,0.10051447449088817,0.9626132930513596,0.055581416162792094,0.9841619005719313,9.987820251299121e-06
13,finetune,0.07439778221833021,0.971393504531722,0.047097588393114447,0.9868015838099428,9.972609476841366e-06
14,finetune,0.0707182005115326,0.9749811178247734,0.04378077331430525,0.9885613726352838,9.951340343707852e-06
15,finetune,0.06333205121881652,0.976963746223565,0.038228270559650765,0.9916410030796304,9.924038765061042e-06
16,finetune,0.06084145157628909,0.979607250755287,0.03562420021842557,0.9898812142542894,9.890738003669029e-06
17,finetune,0.05443701469916231,0.9805513595166163,0.03871104211677186,0.9876814782226133,9.851478631379982e-06
18,finetune,0.05288119824586318,0.9828172205438066,0.036784053058599095,0.9903211614606248,9.806308479691595e-06
19,finetune,0.037034422733182276,0.9871601208459214,0.03177636591705309,0.9916410030796304,9.755282581475769e-06
20,finetune,0.037781498166999786,0.9864992447129909,0.03938466134807689,0.9894412670479542,9.698463103929542e-06
21,finetune,0.03971411427342279,0.9875377643504532,0.030121632939752795,0.9916410030796304,9.635919272833938e-06
22,finetune,0.03491896725178125,0.9881986404833837,0.02979056341135182,0.9916410030796304,9.567727288213005e-06
23,finetune,0.030821649284521257,0.989142749244713,0.03048993069539236,0.9929608446986362,9.493970231495836e-06
24,finetune,0.023748869982370798,0.9914086102719033,0.02740862313944812,0.9925208974923009,9.414737964294636e-06
25,finetune,0.025955589606322552,0.9922583081570997,0.030327128304608635,0.9925208974923009,9.330127018922195e-06
26,finetune,0.025685986982281476,0.9908421450151057,0.02518361641665256,0.9938407391113067,9.24024048078213e-06
27,finetune,0.024354507398209182,0.9926359516616314,0.030176422536189577,0.9929608446986362,9.145187862775208e-06
28,finetune,0.02068254673498995,0.9933912386706949,0.026948534912649775,0.9929608446986362,9.045084971874738e-06
29,finetune,0.018028051606477927,0.9946185800604229,0.026284511426026946,0.9929608446986362,8.940053768033612e-06
30,finetune,0.015168590566813045,0.9941465256797583,0.025656956279534786,0.9938407391113067,8.830222215594892e-06
31,finetune,0.016485943388632778,0.9943353474320241,0.02696270576616347,0.9934007919049714,8.715724127386973e-06
32,finetune,0.015567180737177772,0.9957515105740181,0.030553174920927517,0.9929608446986362,8.596699001693257e-06
33,finetune,0.015647054573920557,0.9949018126888217,0.026150465168934062,0.9938407391113067,8.473291852294988e-06
34,finetune,0.017976613687154388,0.9947129909365559,0.027182607151472877,0.9938407391113067,8.345653031794293e-06
35,finetune,0.013638610937534141,0.995845921450151,0.029335594838063098,0.9929608446986362,8.213938048432699e-06
36,finetune,0.01266741610815878,0.9961291540785498,0.03505235939260836,0.9934007919049714,8.078307376628293e-06
